Matrix Size (MxM),Power,Power Execution Time
0,10000,15801
10,10000,144077
20,10000,847182
30,10000,1670347
40,10000,3956747
50,10000,8244809
60,10000,13039013
70,10000,24801802
80,10000,36976454
90,10000,55909752
100,10000,65673234
0,9750,10053
10,9750,74275
20,9750,520597
30,9750,1640731
40,9750,4073534
50,9750,7978782
60,9750,13633831
70,9750,21357569
80,9750,34197463
90,9750,45855798
100,9750,62108057
0,9500,11837
10,9500,70743
20,9500,469601
30,9500,1591663
40,9500,3871392
50,9500,7528489
60,9500,13422786
70,9500,21489918
80,9500,35670119
90,9500,46797203
100,9500,65249792
0,9250,8161
10,9250,85525
20,9250,472809
30,9250,1682780
40,9250,3634390
50,9250,7733394
60,9250,14135886
70,9250,19182425
80,9250,28860314
90,9250,39344462
100,9250,58036110
0,9000,8009
10,9000,74055
20,9000,450625
30,9000,1802398
40,9000,3644673
50,9000,7441045
60,9000,12717443
70,9000,19835966
80,9000,29431751
90,9000,39623105
100,9000,60434794
0,8750,9205
10,8750,73919
20,8750,406710
30,8750,1355834
40,8750,3287841
50,8750,6359810
60,8750,11236362
70,8750,17870721
80,8750,26121159
90,8750,37889934
100,8750,50762744
0,8500,7860
10,8500,55437
20,8500,405209
30,8500,1357813
40,8500,3979900
50,8500,7680972
60,8500,11248108
70,8500,18164661
80,8500,27171318
90,8500,36675380
100,8500,50510766
0,8250,10157
10,8250,98619
20,8250,424893
30,8250,1280633
40,8250,3128296
50,8250,6069204
60,8250,10437290
70,8250,16463434
80,8250,27726694
90,8250,36452290
100,8250,48224928
0,8000,12209
10,8000,87910
20,8000,406441
30,8000,1255652
40,8000,3012410
50,8000,6217963
60,8000,10000762
70,8000,17396323
80,8000,25984346
90,8000,34679065
100,8000,45882125
0,7750,6854
10,7750,69717
20,7750,352909
30,7750,1225345
40,7750,2963714
50,7750,5693462
60,7750,9840077
70,7750,15595905
80,7750,23522277
90,7750,34137755
100,7750,45985024
0,7500,7508
10,7500,57450
20,7500,375183
30,7500,1164212
40,7500,3211116
50,7500,6647960
60,7500,10553239
70,7500,15740189
80,7500,23784914
90,7500,32301705
100,7500,45103175
0,7250,10034
10,7250,54443
20,7250,365076
30,7250,1192018
40,7250,2906657
50,7250,5504156
60,7250,9475589
70,7250,15165076
80,7250,21770776
90,7250,26407432
100,7250,38195711
0,7000,13380
10,7000,41387
20,7000,279716
30,7000,942495
40,7000,2531484
50,7000,4430723
60,7000,7497667
70,7000,11983301
80,7000,18320000
90,7000,29312069
100,7000,35609416
0,6750,5870
10,6750,40946
20,6750,282112
30,6750,873982
40,6750,2188668
50,6750,4217247
60,6750,7207608
70,6750,11481489
80,6750,17139519
90,6750,24352744
100,6750,33867407
0,6500,5379
10,6500,37954
20,6500,258637
30,6500,862655
40,6500,2127934
50,6500,3999201
60,6500,7181439
70,6500,11370578
80,6500,16716604
90,6500,24088044
100,6500,32688601
0,6250,5135
10,6250,36009
20,6250,265713
30,6250,872739
40,6250,2345615
50,6250,4075388
60,6250,6892751
70,6250,11055859
80,6250,16598751
90,6250,23059891
100,6250,31238101
0,6000,4926
10,6000,36321
20,6000,254481
30,6000,777750
40,6000,1960100
50,6000,3739639
60,6000,6431825
70,6000,10236187
80,6000,15704951
90,6000,22670162
100,6000,29848873
0,5750,4700
10,5750,33548
20,5750,232170
30,5750,755429
40,5750,1867513
50,5750,3560804
60,5750,6122715
70,5750,9881839
80,5750,14502605
90,5750,20880333
100,5750,29217563
0,5500,7483
10,5500,48364
20,5500,240264
30,5500,709231
40,5500,1760973
50,5500,3406234
60,5500,5829709
70,5500,9357631
80,5500,13909176
90,5500,19857265
100,5500,27140561
0,5250,4198
10,5250,32127
20,5250,208993
30,5250,689160
40,5250,1678529
50,5250,3267073
60,5250,6247263
70,5250,9664578
80,5250,14747595
90,5250,20315210
100,5250,26864764
0,5000,4356
10,5000,31068
20,5000,200848
30,5000,657514
40,5000,1660802
50,5000,3252286
60,5000,5393834
70,5000,8613793
80,5000,12858261
90,5000,18258529
100,5000,25167239
0,4750,4004
10,4750,27372
20,4750,192822
30,4750,629400
40,4750,1559699
50,4750,2972348
60,4750,5130567
70,4750,8258943
80,4750,12166728
90,4750,17379209
100,4750,23634656
0,4500,9666
10,4500,29217
20,4500,182548
30,4500,591650
40,4500,1489454
50,4500,2871053
60,4500,4825477
70,4500,7983913
80,4500,11510250
90,4500,16379546
100,4500,22351619
0,4250,3967
10,4250,25275
20,4250,169084
30,4250,568803
40,4250,1370799
50,4250,2683454
60,4250,4697409
70,4250,7768957
80,4250,10773771
90,4250,15462143
100,4250,21050424
0,4000,3376
10,4000,26178
20,4000,170814
30,4000,536661
40,4000,1288684
50,4000,2511759
60,4000,4369669
70,4000,7211718
80,4000,10188326
90,4000,14779124
100,4000,19973235
0,3750,3314
10,3750,31617
20,3750,144349
30,3750,503128
40,3750,1211626
50,3750,2345253
60,3750,4065076
70,3750,7067401
80,3750,9516075
90,3750,13653735
100,3750,18641670
0,3500,2928
10,3500,21465
20,3500,159574
30,3500,456828
40,3500,1134041
50,3500,2195874
60,3500,3831500
70,3500,6809867
80,3500,9945619
90,3500,13106314
100,3500,17326411
0,3250,4673
10,3250,24900
20,3250,122831
30,3250,425610
40,3250,1078592
50,3250,2023078
60,3250,3509512
70,3250,5591294
80,3250,8288638
90,3250,11805223
100,3250,16090674
0,3000,2455
10,3000,18146
20,3000,146572
30,3000,400094
40,3000,995799
50,3000,1874060
60,3000,3223657
70,3000,5140367
80,3000,7690546
90,3000,11021878
100,3000,15379549
0,2750,4142
10,2750,18622
20,2750,104847
30,2750,370374
40,2750,886643
50,2750,1735868
60,2750,2969245
70,2750,4737099
80,2750,6998555
90,2750,9981883
100,2750,13628599
0,2500,2178
10,2500,15080
20,2500,110347
30,2500,319992
40,2500,820662
50,2500,1585133
60,2500,2688121
70,2500,4308690
80,2500,6390522
90,2500,9065742
100,2500,12353392
0,2250,1946
10,2250,13822
20,2250,98613
30,2250,294849
40,2250,722782
50,2250,1437765
60,2250,2428674
70,2250,3848980
80,2250,5740862
90,2250,8184918
100,2250,11187166
0,2000,1664
10,2000,12250
20,2000,74519
30,2000,291112
40,2000,648786
50,2000,1245267
60,2000,2144886
70,2000,3397999
80,2000,5076372
90,2000,7254678
100,2000,9925874
0,1750,1433
10,1750,11041
20,1750,81142
30,1750,228023
40,1750,550699
50,1750,1098533
60,1750,2005396
70,1750,3215652
80,1750,4487919
90,1750,6358936
100,1750,8665631
0,1500,1403
10,1500,9155
20,1500,57474
30,1500,230800
40,1500,599322
50,1500,1026287
60,1500,1622696
70,1500,2573568
80,1500,3808888
90,1500,5423118
100,1500,7445949
0,1250,981
10,1250,11109
20,1250,53996
30,1250,156075
40,1250,400898
50,1250,790032
60,1250,1379460
70,1250,2127969
80,1250,3163610
90,1250,4594114
100,1250,6212334
0,1000,956
10,1000,6710
20,1000,36868
30,1000,126248
40,1000,336814
50,1000,635513
60,1000,1080508
70,1000,1729481
80,1000,2539002
90,1000,3662156
100,1000,4946319
0,750,622
10,750,4854
20,750,28962
30,750,103348
40,750,240090
50,750,456222
60,750,839658
70,750,1280191
80,750,1921345
90,750,2715752
100,750,3763941
0,500,425
10,500,3097
20,500,19651
30,500,62323
40,500,163787
50,500,317351
60,500,521563
70,500,860088
80,500,1263698
90,500,1825979
100,500,2510447
0,250,225
10,250,1530
20,250,10082
30,250,32244
40,250,74031
50,250,160955
60,250,276269
70,250,424848
80,250,624368
90,250,926375
100,250,1232374
