Matrix Size (MxM),Power,Power Execution Time
0,10000,17439
0,9750,11630
0,9500,7971
0,9250,7820
0,9000,8242
0,8750,9423
0,8500,9684
0,8250,12534
0,8000,13566
0,7750,13356
0,7500,10215
0,7250,7282
0,7000,6870
0,6750,6796
0,6500,10142
0,6250,9766
0,6000,6099
0,5750,4730
0,5500,4748
0,5250,4259
0,5000,4172
0,4750,3859
0,4500,4171
0,4250,6360
0,4000,7030
0,3750,3042
0,3500,2833
0,3250,2641
0,3000,2729
0,2750,2754
0,2500,2095
0,2250,2329
0,2000,1636
0,1750,1415
0,1500,1214
0,1250,1015
0,1000,812
0,750,606
0,500,405
0,250,203
10,10000,59524
10,9750,63934
10,9500,65335
10,9250,56205
10,9000,51827
10,8750,61529
10,8500,50491
10,8250,49278
10,8000,49764
10,7750,53636
10,7500,48308
10,7250,42861
10,7000,41502
10,6750,41124
10,6500,45534
10,6250,40487
10,6000,36090
10,5750,38606
10,5500,34398
10,5250,35292
10,5000,44394
10,4750,30538
10,4500,27444
10,4250,28078
10,4000,24791
10,3750,23448
10,3500,22897
10,3250,26947
10,3000,23781
10,2750,18639
10,2500,16134
10,2250,16182
10,2000,12687
10,1750,10979
10,1500,9526
10,1250,7968
10,1000,6219
10,750,4517
10,500,3042
10,250,1540
